Date,SPY,EFA,EEM,TLT,IEF,HYG,GLD,DBC,VNQ,BIL
2005-01-03,81.17461395263672,28.5008544921875,14.48737907409668,44.22254180908203,47.930362701416016,,43.02000045776367,,22.350879669189453,
2005-01-04,80.18267822265625,27.95447540283203,14.041329383850098,43.759098052978516,47.63187789916992,,42.7400016784668,,22.01496696472168,
2005-01-05,79.62936401367188,27.936569213867188,13.869439125061035,43.993309020996094,47.710750579833984,,42.66999816894531,,21.28312873840332,
2005-01-06,80.03424835205078,27.936569213867188,13.860008239746094,44.02322006225586,47.75577163696289,,42.150001525878906,,21.44709014892578,
2005-01-07,79.91952514648438,27.811172485351562,13.886846542358398,44.122859954833984,47.71635437011719,,41.84000015258789,,21.399097442626953,
2005-01-10,80.29743194580078,27.936569213867188,13.904254913330078,44.19265365600586,47.710750579833984,,41.95000076293945,,21.33111572265625,
2005-01-11,79.74407958984375,27.882837295532227,13.878137588500977,44.451759338378906,47.80644607543945,,42.209999084472656,,21.115161895751953,
2005-01-12,80.00725555419922,28.106752395629883,14.04858684539795,44.511566162109375,47.879661560058594,,42.599998474121094,,21.015195846557617,
2005-01-13,79.36622619628906,27.864913940429688,13.99055290222168,44.94015884399414,48.07111358642578,,42.599998474121094,,21.015195846557617,
2005-01-14,79.7845687866211,27.999265670776367,14.240778923034668,44.935142517089844,48.04294204711914,,42.31999969482422,,21.275129318237305,
2005-01-18,80.61455535888672,28.020767211914062,14.2153959274292,45.084659576416016,48.02605438232422,,42.31999969482422,,21.483078002929688,
2005-01-19,79.77108001708984,27.730558395385742,14.019574165344238,45.2142333984375,48.054229736328125,,42.2599983215332,,21.50307846069336,
2005-01-20,79.28524780273438,27.546051025390625,13.845505714416504,45.303951263427734,48.13871765136719,,42.25,,21.435094833374023,
2005-01-21,78.79940795898438,27.65532875061035,14.034078598022461,45.353782653808594,48.234397888183594,,42.7400016784668,,21.455081939697266,
2005-01-24,78.64424133300781,27.703689575195312,14.012321472167969,45.548126220703125,48.228759765625,,42.77000045776367,,21.28312873840332,
2005-01-25,78.86687469482422,27.71265411376953,14.139243125915527,45.11955642700195,48.04860305786133,,42.2400016784668,,20.883222579956055,
2005-01-26,79.10305786132812,28.047639846801758,14.345945358276367,45.20426940917969,48.05983352661133,,42.689998626708984,,20.819229125976562,
2005-01-27,79.23799133300781,28.08884048461914,14.359723091125488,45.11955642700195,47.98662567138672,,42.619998931884766,,20.671260833740234,
2005-01-28,79.23799133300781,28.026140213012695,14.372782707214355,45.57304382324219,48.234397888183594,,42.689998626708984,,20.703262329101562,
2005-01-31,79.73058319091797,28.16050148010254,14.562073707580566,45.70261001586914,48.25129318237305,,42.220001220703125,,20.67926025390625,
2005-02-01,80.2367172241211,28.336048126220703,14.6868257522583,45.630069732666016,48.217987060546875,,42.099998474121094,,20.83123016357422,
2005-02-02,80.47956085205078,28.375457763671875,14.733233451843262,45.73509216308594,48.223609924316406,,42.15999984741211,,21.063175201416016,
2005-02-03,80.2704086303711,28.221397399902344,14.718010902404785,45.71013259887695,48.14453887939453,,41.68000030517578,,21.12715721130371,
2005-02-04,81.12740325927734,28.366504669189453,14.947921752929688,46.345394134521484,48.393043518066406,,41.470001220703125,,21.41509437561035,
2005-02-07,81.01941680908203,28.187362670898438,14.995062828063965,46.69050216674805,48.48909378051758,,41.27000045776367,,21.34311294555664,
2005-02-08,81.11388397216797,28.187362670898438,15.024075508117676,46.95566177368164,48.53426742553711,,41.2599983215332,,21.395095825195312,
2005-02-09,80.50657653808594,28.115697860717773,14.975483894348145,47.08073043823242,48.771484375,,41.310001373291016,,21.531064987182617,
2005-02-10,80.79676055908203,28.407712936401367,15.04801082611084,46.4454231262207,48.46651077270508,,41.75,,21.69502830505371,
2005-02-11,81.49170684814453,28.604761123657227,15.194522857666016,46.41539001464844,48.404388427734375,,42.08000183105469,,21.75901985168457,
2005-02-14,81.43098449707031,28.826892852783203,15.303308486938477,46.56049346923828,48.46651077270508,,42.54999923706055,,21.76302146911621,
2005-02-15,81.7346420288086,29.020360946655273,15.339570999145508,46.32537078857422,48.393043518066406,,42.58000183105469,,21.858997344970703,
2005-02-16,81.78861999511719,28.764188766479492,15.292433738708496,46.15032196044922,48.217987060546875,,42.52000045776367,,21.986967086791992,
2005-02-17,81.12740325927734,28.82330322265625,15.267048835754395,45.86018753051758,48.11066818237305,,42.72999954223633,,21.970977783203125,
2005-02-18,81.23533630371094,28.96662139892578,15.454899787902832,45.45001983642578,47.86779022216797,,42.75,,21.77901840209961,
2005-02-22,80.0274887084961,28.898544311523438,15.398321151733398,45.2498779296875,47.87343978881836,,43.56999969482422,,21.155155181884766,
2005-02-23,80.60104370117188,28.91286849975586,15.469396591186523,45.399986267089844,47.91298294067383,,43.41999816894531,,21.075170516967773,
2005-02-24,81.13410949707031,28.957656860351562,15.709465980529785,45.299949645996094,47.83390426635742,,43.33000183105469,,21.09117889404297,
2005-02-25,81.93710327148438,29.294431686401367,15.99885082244873,45.51997756958008,47.90168380737305,,43.5,,21.395095825195312,
2005-02-28,81.39727020263672,29.226367950439453,15.972009658813477,45.029823303222656,47.59103012084961,,43.529998779296875,,21.33510398864746,
